date_added,date_visited,business_name,yelp_alias,neighborhood
-,6/21/2014,Muk Eun Ji,muk-eun-ji-new-york,Koreatown
-,7/20/2015,RamenCo,ramenco-new-york-2,Financial District
-,7/24/2015,BLT Bar & Grill,blt-bar-and-grill-new-york,Financial District
-,7/24/2015,Bill’s Bar & Burger Downtown,bills-bar-and-burger-downtown-new-york,Financial District
-,8/21/2015,Ruchi,ruchi-new-york-2,Financial District
-,8/21/2015,Komegashi Too,komegashi-too-jersey-city,Jersey City
-,8/28/2015,Smashburger,smashburger-new-york-6,Financial District
-,9/2/2015,Harry's Italian,harrys-italian-new-york-2,Financial District
-,9/26/2015,goa taco,goa-taco-new-york,Lower East Side
-,9/26/2015,Morgenstern's Finest Ice Cream,morgensterns-finest-ice-cream-new-york-2,Lower East Side
-,9/26/2015,The Halal Guys,N/A,N/A
-,9/26/2015,Vanessa's Dumpling House,vanessas-dumpling-house-new-york-2,Lower East Side
-,10/10/2015,Philip Marie,philip-marie-new-york,West Village
-,10/10/2015,Joe's Shanghai,joes-shanghai-new-york-2,Chinatown
-,10/23/2015,Oka Sushi,oka-sushi-new-york,Financial District
-,10/27/2015,Pisillo Italian Panini,pisillo-italian-panini-new-york,Financial District
-,3/3/2016,Friedman's,friedmans-new-york-59,Midtown West
-,3/4/2016,Prince Street Pizza,prince-street-pizza-new-york-2,Nolita
-,3/5/2016,The Crooked Knife,the-crooked-knife-new-york-3,Midtown East
-,3/6/2016,Ramen-Ya,ramen-ya-new-york-5,West Village
-,3/7/2016,Hamilton Pork,hamilton-pork-jersey-city,Jersey City
-,3/9/2016,The Malt House,the-malt-house-new-york-3,Financial District
-,5/5/2016,House of Que,house-of-que-hoboken-2,Hoboken
-,5/9/2016,Mighty Quinn’s Barbeque,mighty-quinns-barbeque-new-york-4,Battery Park
-,6/5/2016,Flex Mussels,flex-mussels-new-york-2,West Village
-,6/25/2016,99 Favor Taste,99-favor-taste-new-york-12,Lower East Side
-,7/27/2016,Cafe Habana,cafe-habana-new-york-4,Nolita
-,7/28/2016,Ahri's Kitchen,ahris-kitchen-jersey-city,Jersey City
-,8/3/2016,Burger Heaven,burger-heaven-new-york,Midtown East
-,9/6/2016,Papillon Bistro & Bar,papillon-bistro-and-bar-new-york,Midtown East
-,9/6/2016,Fuku+,fuku-new-york-11,Midtown West
-,9/10/2016,Tipsy Shanghai,tipsy-shanghai-new-york,Financial District
-,10/29/2016,Da Claudio,da-claudio-new-york,Financial District
-,11/18/2016,BCD Tofu House,bcd-tofu-house-new-york-3,Koreatown
-,12/4/2016,Burger & Lobster,burger-and-lobster-new-york,Flatiron
-,1/20/2017,Momofuku Má Pêche,momofuku-má-pêche-new-york-2,Midtown West
-,1/21/2017,La Esquina,la-esquina-new-york-4,SoHo
-,2/3/2017,Zio Ristorante,zio-ristorante-new-york,Flatiron
-,2/4/2017,Zen Ramen & Sushi,zen-ramen-and-sushi-new-york,Midtown West
-,2/18/2017,Jing Fong Restaurant,jing-fong-restaurant-new-york,Chinatown
-,3/11/2017,Hou Yi Hot Pot,hou-yi-hot-pot-new-york,Chinatown
-,3/31/2017,Hunan House,hunan-house-new-york-6,Midtown West
-,4/7/2017,Chefs Club,chefs-club-new-york-4,Nolita
-,4/8/2017,Amada,amada-new-york-4,Battery Park
-,6/2/2017,Hometown Hotpot & BBQ,hometown-hotpot-and-bbq-new-york-2,Little Italy
-,6/5/2017,My pie pizzeria romana,my-pie-pizzeria-romana-new-york-2,Midtown East
-,6/8/2017,Le Relais De Venise L’Entrecôte,le-relais-de-venise-l-entrecôte-new-york-4,Midtown East
-,6/15/2017,La Bonne Soupe,la-bonne-soupe-new-york,Midtown West
-,6/15/2017,Corner Bistro,corner-bistro-new-york,West Village
-,7/2/2017,Red Egg,red-egg-new-york-3,Little Italy
-,7/2/2017,Ollie's Sichuan,ollies-sichuan-new-york,Midtown West
-,7/3/2017,Shimizu,shimizu-new-york,Theater District
7/6/2017,7/7/2017,Gyu-Kaku Japanese BBQ,gyu-kaku-japanese-bbq-new-york,NoHo
7/1/2017,7/15/2017,Funny BBQ 98,funny-bbq-98-new-york,Little Italy
-,7/17/2017,China Blue,N/A,N/A
-,7/21/2017,Dim Sum Palace,dim-sum-palace-new-york-7,Midtown West
-,7/23/2017,Zest Szechuan,zest-szechuan-new-york,Midtown West
-,7/27/2017,Maison Kayser,N/A,N/A
-,7/28/2017,SOBA AZUMA,soba-azuma-new-york,Midtown West
-,8/1/2017,Ootoya Chelsea,ootoya-chelsea-new-york,Flatiron
7/10/2017,8/3/2017,Nerai,nerai-new-york,Midtown East
-,8/10/2017,Buttercup Bake Shop,N/A,N/A
-,8/29/2017,Parm,parm-new-york,Nolita
-,8/30/2017,Sugar Factory,sugar-factory-new-york-7,Meatpacking District
-,9/7/2017,IchiUmi,ichiumi-new-york-4,Koreatown
-,9/9/2017,Wolfgang's Steakhouse,wolfgangs-steakhouse-new-york-4,Murray Hill
-,9/9/2017,Lady M Cake Boutique,lady-m-cake-boutique-new-york-3,Midtown West
9/7/2017,9/11/2017,Five Senses,five-senses-new-york,Koreatown
